time,g_iAdData0,
28.262,755,
28.264,742,
28.266,755,
28.267,759,
28.269,751,
28.27,749,
28.271,767,
28.272,753,
28.273,750,
28.274,763,
28.276,752,
28.277,761,
28.278,754,
28.279,752,
28.281,760,
28.282,751,
28.284,749,
28.285,745,
28.286,751,
28.287,743,
28.287,751,
28.288,748,
28.289,735,
28.29,754,
28.291,751,
28.292,745,
28.293,741,
28.293,749,
28.294,745,
28.295,738,
28.296,764,
28.297,745,
28.298,747,
28.299,735,
28.3,751,
28.301,753,
28.302,749,
28.303,741,
28.303,745,
28.304,737,
28.305,765,
28.306,751,
28.306,755,
28.307,751,
28.308,745,
28.309,735,
28.309,757,
28.31,745,
28.311,742,
28.312,733,
28.312,753,
28.314,737,
28.315,735,
28.317,736,
28.318,740,
28.32,737,
28.321,743,
28.322,745,
28.323,743,
28.324,746,
28.325,750,
28.326,757,
28.328,743,
28.329,725,
28.331,751,
28.332,743,
28.334,747,
28.335,729,
28.336,747,
28.337,744,
28.338,739,
28.339,756,
28.341,741,
28.342,743,
28.343,744,
28.343,744,
28.345,739,
28.346,748,
28.347,751,
28.349,728,
28.35,735,
28.351,737,
28.352,741,
28.353,731,
28.354,729,
28.355,742,
28.356,755,
28.357,725,
28.357,741,
28.358,723,
28.359,730,
28.36,747,
28.36,729,
28.361,734,
28.362,738,
28.362,739,
28.363,734,
28.364,747,
28.365,735,
28.367,735,
28.368,745,
28.369,735,
28.37,739,
28.371,749,
28.372,746,
28.373,744,
28.374,735,
28.375,737,
28.376,741,
28.377,723,
28.378,745,
28.378,733,
28.379,745,
28.38,712,
28.381,747,
28.383,721,
28.384,737,
28.384,741,
28.385,739,
28.386,731,
28.387,725,
28.388,725,
28.389,739,
28.39,737,
28.391,733,
28.392,741,
28.393,742,
28.394,737,
28.394,736,
28.395,739,
28.396,735,
28.397,733,
28.398,733,
28.399,729,
28.4,730,
28.401,725,
28.402,740,
28.402,741,
28.403,717,
28.404,734,
28.405,745,
28.405,733,
28.406,739,
28.407,732,
28.408,738,
28.408,730,
28.409,718,
28.41,728,
28.41,735,
28.411,723,
28.412,707,
28.413,729,
28.413,733,
28.415,726,
28.416,735,
28.417,731,
28.418,739,
28.419,723,
28.42,726,
28.421,719,
28.422,730,
28.423,738,
28.424,713,
28.425,723,
28.426,725,
28.427,729,
28.428,734,
28.429,735,
28.431,719,
28.432,709,
28.433,712,
28.434,737,
28.435,723,
28.436,727,
28.438,731,
28.439,733,
28.44,739,
28.44,724,
28.441,729,
28.442,733,
28.443,729,
28.444,735,
28.444,735,
28.445,725,
28.446,731,
28.447,722,
28.448,737,
28.449,707,
28.45,735,
28.451,727,
28.452,733,
28.452,734,
28.453,741,
28.454,715,
28.455,729,
28.457,727,
28.457,726,
28.458,718,
28.459,733,
28.46,725,
28.461,709,
28.462,727,
28.463,736,
28.465,721,
28.466,728,
28.467,715,
28.468,711,
28.469,731,
28.47,715,
28.471,715,
28.472,717,
28.473,717,
28.474,724,
28.475,719,
28.476,723,
28.477,728,
28.478,727,
28.479,705,
28.48,713,
28.481,712,
28.482,719,
28.483,717,
28.484,722,
28.485,719,
28.486,721,
28.486,727,
28.487,731,
28.488,729,
28.489,723,
28.49,721,
28.491,711,
28.492,709,
28.493,728,
28.494,711,
28.495,713,
28.496,719,
28.497,722,
28.498,717,
28.5,727,
28.501,706,
28.501,705,
28.502,723,
28.503,719,
28.504,707,
28.505,716,
28.506,723,
28.507,711,
28.508,706,
28.509,729,
28.51,731,
28.511,715,
28.512,719,
28.513,706,
28.514,716,
28.515,711,
28.516,729,
28.517,718,
28.518,710,
28.52,725,
28.521,718,
28.522,723,
28.522,719,
28.523,711,
28.524,711,
28.525,705,
28.526,706,
28.527,709,
28.528,711,
28.53,710,
28.531,713,
28.532,714,
28.533,715,
28.534,706,
28.534,714,
28.535,713,
28.536,709,
28.537,705,
28.539,715,
28.54,715,
28.541,707,
28.541,712,
28.542,709,
28.543,701,
28.544,701,
28.545,709,
28.546,714,
28.547,723,
28.549,725,
28.55,699,
28.551,711,
28.552,711,
28.553,715,
28.553,712,
28.554,711,
28.555,717,
28.556,719,
28.557,711,
28.558,721,
28.559,696,
28.56,713,
28.561,709,
28.562,712,
28.563,715,
28.565,708,
28.566,699,
28.568,713,
28.569,711,
28.57,701,
28.571,703,
28.572,711,
28.573,695,
28.574,710,
28.575,701,
28.576,706,
28.577,711,
28.578,717,
28.579,709,
28.58,716,
28.581,701,
28.582,707,
28.583,715,
28.584,707,
28.585,701,
28.586,713,
28.587,709,
28.588,717,
28.588,701,
28.589,703,
28.589,713,
28.59,715,
28.591,712,
28.592,701,
28.593,711,
28.594,709,
28.595,705,
28.596,700,
28.597,703,
28.599,709,
28.6,708,
28.601,698,
28.602,703,
28.603,703,
28.604,696,
28.604,695,
28.605,707,
28.606,701,
28.607,709,
28.608,702,
28.609,701,
28.61,715,
28.611,711,
28.612,695,
28.613,701,
28.615,693,
28.616,703,
28.617,709,
28.618,697,
28.619,695,
28.62,695,
28.62,716,
28.621,703,
28.622,697,
28.623,688,
28.624,703,
28.625,717,
28.626,691,
28.627,715,
28.628,705,
28.629,700,
28.63,713,
28.632,699,
28.633,696,
28.634,701,
28.634,706,
28.635,707,
28.636,706,
28.637,699,
28.638,701,
28.639,709,
28.64,697,
28.641,707,
28.642,713,
28.643,701,
28.645,696,
28.646,675,
28.646,705,
28.647,697,
28.648,714,
28.649,701,
28.65,689,
28.651,701,
28.653,689,
28.654,687,
28.655,691,
28.656,694,
28.657,718,
28.658,695,
28.658,693,
28.659,701,
28.66,705,
28.662,697,
28.663,715,
28.664,697,
28.665,691,
28.666,679,
28.668,691,
28.669,693,
28.669,689,
28.671,704,
28.672,682,
28.673,689,
28.674,696,
28.675,694,
28.676,699,
28.677,704,
28.678,694,
28.679,697,
28.679,701,
28.681,694,
28.682,683,
28.683,675,
28.684,685,
28.685,693,
28.686,695,
28.687,695,
28.688,691,
28.688,691,
28.689,694,
28.69,689,
28.69,681,
28.691,705,
28.692,685,
28.693,691,
28.694,685,
28.695,683,
28.696,691,
28.697,699,
28.699,699,
28.7,697,
28.7,683,
28.702,688,
28.703,687,
28.704,684,
28.705,689,
28.706,683,
28.706,691,
28.707,689,
28.708,695,
28.709,691,
28.71,699,
28.711,689,
28.712,679,
28.713,677,
28.714,699,
28.716,691,
28.717,694,
28.717,691,
28.718,684,
28.72,683,
28.721,678,
28.722,681,
28.723,688,
28.724,695,
28.724,689,
28.725,689,
28.726,694,
28.727,689,
28.728,685,
28.729,701,
28.73,683,
28.732,695,
28.733,695,
28.733,690,
28.734,685,
28.735,697,
28.736,683,
28.737,681,
28.738,681,
28.739,689,
28.74,687,
28.741,685,
28.743,689,
28.744,680,
28.745,683,
28.745,705,
28.746,697,
28.747,688,
28.749,695,
28.75,687,
28.751,681,
28.752,677,
28.753,675,
28.753,691,
28.754,691,
28.755,683,
28.756,687,
28.757,684,
28.758,687,
28.759,685,
28.76,683,
28.761,694,
28.762,683,
28.763,679,
28.764,689,
28.766,690,
28.767,686,
28.767,666,
28.768,680,
28.769,677,
28.77,691,
28.771,687,
28.772,684,
28.773,681,
28.774,684,
28.775,688,
28.776,685,
28.777,681,
28.778,679,
28.779,683,
28.78,681,
28.782,688,
28.783,688,
28.784,687,
28.785,681,
28.786,677,
28.787,668,
28.787,674,
28.788,675,
28.789,683,
28.79,681,
28.791,678,
28.792,669,
28.793,681,
28.794,673,
28.795,675,
28.796,677,
28.797,689,
28.799,684,
28.8,687,
28.801,687,
28.802,688,
28.803,677,
28.804,679,
28.805,679,
28.806,682,
28.806,660,
28.807,695,
28.808,667,
28.809,679,
28.81,683,
28.811,697,
28.812,666,
28.813,679,
28.814,681,
28.816,685,
28.817,670,
28.817,670,
28.819,676,
28.819,679,
28.82,675,
28.821,670,
28.822,683,
28.823,685,
28.824,687,
28.825,673,
28.826,671,
28.827,669,
28.828,675,
28.829,669,
28.83,668,
28.831,683,
28.832,672,
28.833,663,
28.834,669,
28.835,686,
28.836,669,
28.837,675,
28.838,691,
28.839,667,
28.84,665,
28.842,667,
28.843,669,
28.844,667,
28.845,685,
28.846,673,
28.846,671,
28.847,671,
28.849,657,
28.85,673,
28.851,673,
28.852,669,
28.852,669,
28.853,672,
28.854,669,
28.855,671,
28.856,674,
28.857,678,
28.858,677,
28.859,675,
28.86,662,
28.861,667,
28.862,676,
28.864,665,
28.865,664,
28.867,660,
28.868,681,
28.869,659,
28.871,673,
28.872,673,
28.875,679,
28.876,654,
28.877,665,
28.879,663,
28.88,678,
28.881,683,
28.882,663,
28.884,665,
28.885,675,
28.887,667,
28.888,659,
28.889,660,
28.89,673,
28.892,659,
28.893,679,
28.894,660,
28.895,657,
28.896,664,
28.897,657,
28.898,657,
28.899,681,
28.902,661,
28.903,664,
28.904,661,
28.905,667,
28.906,671,
28.907,679,
28.908,667,
28.908,665,
28.909,657,
28.91,665,
28.911,665,
28.912,675,
28.912,657,
28.913,670,
28.914,685,
28.916,651,
28.917,657,
28.918,666,
28.919,667,
28.92,665,
28.921,667,
28.922,663,
28.922,665,
28.923,662,
28.924,661,
28.925,679,
28.926,669,
28.926,672,
28.927,663,
28.928,654,
28.928,654,
28.929,649,
28.93,667,
28.93,667,
28.931,655,
28.932,656,
28.933,673,
28.934,667,
28.935,661,
28.935,679,
28.936,663,
28.937,653,
28.938,659,
28.938,651,
28.939,671,
28.94,655,
28.94,655,
28.941,671,
28.942,661,
28.942,667,
28.943,657,
28.945,671,
28.946,661,
28.947,657,
28.948,670,
28.949,654,
28.95,637,
28.951,655,
28.952,663,
28.953,663,
28.954,669,
28.955,655,
28.956,656,
28.957,653,
28.957,655,
28.958,665,
28.959,659,
28.96,649,
28.961,647,
28.961,655,
28.962,663,
28.963,674,
28.963,666,
28.964,668,
28.966,665,
28.967,643,
28.967,649,
28.968,663,
28.97,657,
28.97,652,
28.971,664,
28.972,661,
28.973,667,
28.974,653,
28.975,652,
28.976,656,
28.977,646,
28.978,651,
28.979,663,
28.98,658,
28.982,652,
28.983,643,
28.984,663,
28.985,656,
28.986,666,
28.987,651,
28.988,659,
28.988,667,
28.989,638,
28.99,649,
28.991,659,
28.992,662,
28.993,654,
28.994,666,
28.995,649,
28.996,656,
28.997,660,
28.999,650,
29.001,645,
29.002,657,
29.002,653,
29.003,655,
29.004,649,
29.004,651,
29.005,666,
29.006,657,
29.007,655,
29.008,647,
29.009,657,
29.01,657,
29.011,659,
29.012,641,
29.013,659,
29.014,635,
29.015,653,
29.016,653,
29.017,655,
29.018,649,
29.019,659,
29.02,645,
29.021,643,
29.022,653,
29.023,655,
29.024,645,
29.025,647,
29.026,651,
29.027,650,
29.028,661,
29.029,665,
29.031,639,
29.032,637,
29.033,647,
29.034,659,
29.035,649,
29.036,650,
29.037,661,
29.038,649,
29.039,641,
29.039,655,
29.04,640,
29.042,648,
29.043,649,
29.044,658,
29.045,643,
29.046,644,
29.047,674,
29.048,649,
29.049,647,
29.05,647,
29.051,647,
29.052,635,
29.053,655,
29.054,639,
29.055,651,
29.056,649,
29.057,645,
29.058,655,
29.059,649,
29.06,633,
29.06,627,
29.061,645,
29.062,658,
29.063,645,
29.064,653,
29.066,647,
29.067,648,
29.068,645,
29.069,637,
29.07,646,
29.071,649,
29.072,647,
29.073,647,
29.074,652,
29.075,647,
29.076,654,
